"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.293937981E0,-8.296999931E0,-2.444999933E0,-6.894999981E0,1.106161187E1
1.298919257E0,-7.481999874E0,-2.303999901E0,-7.025000095E0,1.051852480E1
1.303900716E0,-6.683000088E0,-2.323999882E0,-6.846000195E0,9.845363593E0
1.308881949E0,-6.264999866E0,-2.292000055E0,-6.684999943E0,9.444189315E0
1.313863260E0,-6.491000175E0,-2.035000086E0,-6.125999928E0,9.154353267E0
1.318844721E0,-7.331999779E0,-1.595000029E0,-5.289999962E0,9.180759524E0
1.323826064E0,-8.342000008E0,-1.026000023E0,-4.547999859E0,9.556460793E0
1.328807295E0,-9.062000275E0,-6.330000162E-1,-4.024000168E0,9.935447416E0
1.333788754E0,-9.439999580E0,-7.239999771E-1,-3.806999922E0,1.020446062E1
1.338770059E0,-9.498000145E0,-1.118999958E0,-3.266999960E0,1.010630775E1
1.343751518E0,-9.399999619E0,-1.355999947E0,-1.930999994E0,9.691619558E0
1.348732751E0,-9.623999596E0,-1.057999969E0,-3.770000041E-1,9.689316857E0
1.353714067E0,-1.028400040E1,-5.120000243E-1,3.140000105E-1,1.030152436E1
1.358695300E0,-1.113700008E1,-7.800000161E-2,4.810000062E-1,1.114765517E1
1.363676836E0,-1.185200024E1,9.600000083E-2,3.149999976E-1,1.185657415E1
1.368658098E0,-1.226700020E1,7.199999690E-2,1.710000038E-1,1.226840327E1
1.373639558E0,-1.225800037E1,-1.040000021E-1,2.700000070E-2,1.225847128E1
1.378620862E0,-1.198099995E1,-1.420000046E-1,-2.939999998E-1,1.198544783E1
1.383602093E0,-1.169499969E1,7.900000364E-2,-7.570000291E-1,1.171974010E1
1.388583553E0,-1.128499985E1,3.289999962E-1,-1.476999998E0,1.138599980E1
1.393564790E0,-1.070600033E1,4.679999948E-1,-2.536999941E0,1.101244004E1
1.398546096E0,-1.052900028E1,6.990000010E-1,-3.661000013E0,1.116921524E1
1.403527572E0,-1.023099995E1,8.140000105E-1,-4.497000217E0,1.120530976E1
