"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.510435542E0,-1.230999947E0,-7.640999794E0,6.656000137E0,1.020796633E1
1.515416852E0,-1.317000031E0,-8.656000137E0,6.645999908E0,1.099227648E1
1.520398088E0,-1.235000014E0,-8.767999649E0,6.063000202E0,1.073140319E1
1.525379547E0,-1.322999954E0,-8.335000038E0,5.342999935E0,9.988503533E0
1.530360808E0,-1.616000056E0,-7.901000023E0,4.541999817E0,9.255647999E0
1.535342114E0,-1.917999983E0,-7.736000061E0,3.615000010E0,8.751722456E0
1.540323372E0,-2.131000042E0,-7.756000042E0,2.842000008E0,8.530748025E0
1.545304831E0,-2.246000051E0,-7.757999897E0,2.467000008E0,8.444949240E0
1.550286064E0,-2.135999918E0,-7.715000153E0,2.549000025E0,8.401257295E0
1.555267370E0,-1.797999978E0,-7.653999805E0,2.914999962E0,8.385328957E0
1.560248603E0,-1.345999956E0,-7.630000114E0,3.411999941E0,8.465834940E0
1.565229847E0,-8.769999743E-1,-7.686999798E0,3.890000105E0,8.659745704E0
1.570211307E0,-5.040000081E-1,-7.777999878E0,4.308000088E0,8.905625349E0
1.575192617E0,-2.840000093E-1,-7.901999950E0,4.630000114E0,9.162923130E0
1.580173871E0,-1.990000010E-1,-8.088000298E0,4.783999920E0,9.399042773E0
1.585155331E0,-2.269999981E-1,-8.288999557E0,4.870999813E0,9.616947636E0
1.590136564E0,-3.039999902E-1,-8.579000473E0,4.828999996E0,9.849411458E0
1.595117874E0,-4.239999950E-1,-8.824999809E0,4.722000122E0,1.001786818E1
1.600099336E0,-5.279999971E-1,-9.100999832E0,4.510000229E0,1.017089396E1
1.605080554E0,-6.980000138E-1,-9.479000092E0,4.230999947E0,1.040384579E1
1.610061785E0,-9.750000238E-1,-9.946999550E0,3.687999964E0,1.065339236E1
1.615043090E0,-1.222000003E0,-1.051599979E1,3.032999992E0,1.101265747E1
1.620024280E0,-1.268000007E0,-1.112399960E1,2.463999987E0,1.146396471E1
1.625005740E0,-1.100999951E0,-1.154699993E1,1.746999979E0,1.173019255E1
1.629986948E0,-8.389999866E-1,-1.186200047E1,1.113000035E0,1.194360687E1
